Data,Canal,Investimento,Impressões,Cliques,Leads,Conversões,Receita
01/07/2026,Instagram,"1.250,00",45200,1180,86,12,"3.480,00"
01/07/2026,Google,"980,50",31000,940,71,9,"2.610,00"
02/07/2026,Instagram,"1.310,00",47800,1240,92,14,"4.060,00"
02/07/2026,Google,"1.020,00",32500,970,74,11,"3.190,00"
03/07/2026,Instagram,"1.180,00",42100,1090,79,10,"2.900,00"
03/07/2026,Google,"1.100,00",34800,1010,83,13,"3.770,00"
03/07/2026,TikTok,"640,00",28900,760,44,5,"1.450,00"
04/07/2026,Instagram,"1.420,00",51200,1360,101,17,"4.930,00"
04/07/2026,Google,"1.050,00",33900,995,77,12,"3.480,00"
04/07/2026,TikTok,"720,00",31200,840,52,7,"2.030,00"
05/07/2026,Instagram,"1.360,00",49000,1300,96,15,"4.350,00"
05/07/2026,Google,"1.180,00",36100,1080,88,14,"4.060,00"
05/07/2026,TikTok,"780,00",33400,910,58,8,"2.320,00"
